YYYYMMDD	hhmm	b01_avg	b01_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv01_avg	b02_avg	b02_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv02_avg	b03_avg	b03_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv03_avg	b04_avg	b04_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv04_avg	b05_avg	b05_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv05_avg	b06_avg	b06_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv06_avg	b07_avg	b07_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv07_avg	b08_avg	b08_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv08_avg	b09_avg	b09_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv09_avg	b10_avg	b10_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv10_avg	b11_avg	b11_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv11_avg	b12_avg	b12_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv12_avg	b13_avg	b13_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv13_avg	b14_avg	b14_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv14_avg	b15_avg	b15_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv15_avg	b16_avg	b16_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv16_avg	b17_avg	b17_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv17_avg	b18_avg	b18_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv18_avg	b19_avg	b19_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv19_avg	b20_avg	b20_std	ref1_avg	ref1_std	ref2_avg	ref2_std	k0	k1	k2	sv20_avg	Sensor_Azi_avg	Sensor_Zen_avg	Solar_Azi_avg	Solar_Zen_avg
20131003	2106	0.00000	0.00000	-6.76356	0.00000	-6.76356	0.00000	-6.75600	0.02860	0.00000	0.00000	0.00000	0.00000	-5.73742	0.00000	-5.73742	0.00000	-5.73100	0.02850	0.00000	0.00000	0.00000	0.00000	-5.71439	0.00000	-5.71439	0.00000	-5.70800	0.02880	0.00000	0.00000	0.00000	0.00000	-4.67923	0.00000	-4.67923	0.00000	-4.67400	0.02830	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-4.86016	0.00000	-4.86016	0.00000	-4.85473	0.01896	0.00000	0.00000	0.00000	0.00000	-4.43548	0.00000	-4.43548	0.00000	-4.43052	0.01851	0.00000	0.00000	0.00000	0.00000	-3.09646	0.00000	-3.09646	0.00000	-3.09300	0.01650	0.00000	0.00000	0.00000	0.00000	-3.08845	0.00000	-3.08845	0.00000	-3.08500	0.02060	0.00000	0.00000	0.00000	0.00000	-5.25588	0.00000	-5.25588	0.00000	-5.25000	0.02260	0.00000	0.00000	0.00000	0.00000	-4.52606	0.00000	-4.52606	0.00000	-4.52100	0.02270	0.00000	0.00000	0.00000	0.00000	-4.27078	0.00000	-4.27078	0.00000	-4.26600	0.02230	0.00000	0.00000	0.00000	0.00000	-5.47012	0.00000	-5.47012	0.00000	-5.46400	0.02250	0.00000	0.00000	0.00000	0.00000	-3.35475	0.00000	-3.35475	0.00000	-3.35100	0.02340	0.00000	0.00000	0.00000	0.00000	-4.78135	0.00000	-4.78135	0.00000	-4.77600	0.02260	0.00000	0.00000	0.00000	0.00000	-2.73005	0.00000	-2.73005	0.00000	-2.72700	0.02240	0.00000	0.00000	0.00000	0.00000	-6.60439	0.00000	-6.60439	0.00000	-6.59700	0.02550	0.00000	0.00000	0.00000	0.00000	-4.18668	0.00000	-4.18668	0.00000	-4.18200	0.03270	0.00000	0.00000	0.00000	0.00000	-5.83152	0.00000	-5.83152	0.00000	-5.82500	0.02540	0.00000	0.00000	0.00000	0.00000	-5.89960	0.00000	-5.89960	0.00000	-5.89300	0.02510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20131004	0933	691.50000	9.83209	15.91308	0.34366	15.91308	0.34366	-6.75600	0.02860	0.00000	238.25984	865.65000	11.52595	23.14695	0.40145	23.14696	0.40145	-5.73100	0.02850	0.00000	203.39949	1435.09000	10.92346	43.53503	0.38447	43.53503	0.38447	-5.70800	0.02880	0.00000	199.15269	1647.79000	10.09385	51.27821	0.34911	51.27821	0.34911	-4.67400	0.02830	0.00000	167.71654	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	169.31947	33.69000	30.35118	-5.15241	0.70328	-5.15241	0.70328	-4.85473	0.01896	0.00000	0.00000	60.73000	52.25205	-4.04082	1.18202	-4.04082	1.18202	-4.43052	0.01851	0.00000	0.00000	1014.12000	23.49395	16.66967	0.47375	16.66967	0.47375	-3.09300	0.01650	0.00000	191.97189	736.75000	10.75302	14.77792	0.27071	14.77792	0.27071	-3.08500	0.02060	0.00000	152.86259	815.77000	12.39101	16.11535	0.34224	16.11535	0.34224	-5.25000	0.02260	0.00000	231.51994	858.96000	13.52547	18.30415	0.37522	18.30415	0.37522	-4.52100	0.02270	0.00000	200.25281	1130.77000	14.31073	25.60359	0.39001	25.60359	0.39001	-4.26600	0.02230	0.00000	194.07944	1749.52000	11.35648	41.43006	0.31228	41.43006	0.31228	-5.46400	0.02250	0.00000	246.22070	1705.65000	12.95019	44.68213	0.37034	44.68213	0.37034	-3.35100	0.02340	0.00000	143.32889	1864.06000	13.21349	45.64827	0.36496	45.64827	0.36496	-4.77600	0.02260	0.00000	213.62439	2012.74000	14.23912	51.76695	0.38980	51.76695	0.38980	-2.72700	0.02240	0.00000	122.62429	1522.56000	9.99632	39.38678	0.31153	39.38678	0.31153	-6.59700	0.02550	0.00000	255.62059	568.80000	25.54408	17.62021	1.02083	17.62021	1.02083	-4.18200	0.03270	0.00000	130.30254	1469.03000	8.78118	38.48251	0.27258	38.48251	0.27258	-5.82500	0.02540	0.00000	227.05086	1801.10000	25.50274	48.04711	0.78230	48.04711	0.78230	-5.89300	0.02510	0.00000	234.27266	-9131.68000	129.43000	14285.85000	3504.55000
20131005	0915	757.77000	9.14643	18.94071	0.33217	18.94071	0.33217	-6.75600	0.02860	0.00000	238.15044	909.59000	11.13651	25.64032	0.40302	25.64032	0.40302	-5.73100	0.02850	0.00000	203.38925	1454.17000	10.19809	45.93155	0.37295	45.93155	0.37295	-5.70800	0.02880	0.00000	199.37415	1654.06000	11.28168	53.50442	0.40541	53.50442	0.40541	-4.67400	0.02830	0.00000	167.63644	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	169.38429	25.49000	25.97518	-5.55088	0.62537	-5.55088	0.62537	-4.85473	0.01896	0.00000	0.00000	53.27000	52.61195	-4.37384	1.23660	-4.37384	1.23660	-4.43052	0.01851	0.00000	0.00000	1184.07000	28.38318	20.88089	0.59468	20.88089	0.59468	-3.09300	0.01650	0.00000	192.07510	845.57000	9.88863	18.20107	0.25867	18.20107	0.25867	-3.08500	0.02060	0.00000	152.83693	892.68000	11.61024	18.95131	0.33319	18.95131	0.33319	-5.25000	0.02260	0.00000	231.71870	925.78000	13.12218	20.94444	0.37824	20.94444	0.37824	-4.52100	0.02270	0.00000	200.22829	1180.86000	14.90169	28.02104	0.42197	28.02104	0.42197	-4.26600	0.02230	0.00000	194.36465	1772.69000	11.97138	43.70866	0.34203	43.70866	0.34203	-5.46400	0.02250	0.00000	246.45459	1721.21000	13.91280	46.88799	0.41340	46.88799	0.41340	-3.35100	0.02340	0.00000	143.50832	1858.00000	13.46774	47.25558	0.38649	47.25558	0.38649	-4.77600	0.02260	0.00000	214.28699	2026.23000	17.57718	54.17063	0.49996	54.17063	0.49996	-2.72700	0.02240	0.00000	123.09130	1535.68000	9.78047	41.34849	0.31669	41.34849	0.31669	-6.59700	0.02550	0.00000	255.83008	574.80000	25.83215	18.55689	1.07262	18.55689	1.07262	-4.18200	0.03270	0.00000	130.49994	1476.89000	11.01353	40.23762	0.35522	40.23762	0.35522	-5.82500	0.02540	0.00000	227.48535	1811.15000	33.64354	50.24224	1.07229	50.24225	1.07229	-5.89300	0.02510	0.00000	234.44696	9838.13000	3216.69000	13700.84000	3804.78000
20131006	0856	829.27000	7.36730	22.57248	0.28041	22.57248	0.28041	-6.75600	0.02860	0.00000	238.35002	932.73000	7.67314	27.75035	0.29103	27.75035	0.29103	-5.73100	0.02850	0.00000	203.48674	1430.67000	7.94991	47.23844	0.30471	47.23844	0.30471	-5.70800	0.02880	0.00000	199.00000	1614.43000	10.29685	54.58343	0.38781	54.58343	0.38781	-4.67400	0.02830	0.00000	167.49205	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	167.96074	27.49000	29.89030	-5.76721	0.75421	-5.76721	0.75421	-4.85473	0.01896	0.00000	0.00000	53.04000	53.53409	-4.58972	1.31875	-4.58972	1.31875	-4.43052	0.01851	0.00000	0.00000	1389.24000	33.19522	26.38977	0.72893	26.38977	0.72893	-3.09300	0.01650	0.00000	191.99673	965.21000	8.50681	22.35583	0.23322	22.35583	0.23322	-3.08500	0.02060	0.00000	152.90686	968.49000	8.96381	22.14229	0.26960	22.14230	0.26960	-5.25000	0.02260	0.00000	231.59943	982.74000	9.05055	23.67186	0.27342	23.67186	0.27342	-4.52100	0.02270	0.00000	200.54561	1193.99000	9.94032	29.75748	0.29501	29.75748	0.29501	-4.26600	0.02230	0.00000	194.23535	1748.22000	9.32264	45.07671	0.27916	45.07671	0.27916	-5.46400	0.02250	0.00000	246.18953	1684.21000	9.32233	47.98933	0.29031	47.98933	0.29031	-3.35100	0.02340	0.00000	143.19183	1786.23000	12.31248	47.36820	0.37032	47.36821	0.37032	-4.77600	0.02260	0.00000	213.70436	1973.64000	14.28812	55.20648	0.42594	55.20648	0.42594	-2.72700	0.02240	0.00000	122.58833	1519.63000	9.73823	42.79115	0.33048	42.79115	0.33048	-6.59700	0.02550	0.00000	255.48488	592.57000	24.00761	20.22212	1.04477	20.22212	1.04477	-4.18200	0.03270	0.00000	130.04089	1458.97000	10.13850	41.56581	0.34271	41.56581	0.34271	-5.82500	0.02540	0.00000	227.13754	1754.25000	24.03596	50.75635	0.80290	50.75635	0.80290	-5.89300	0.02510	0.00000	234.19110	9635.30000	5403.99000	13195.36000	4132.72000
20131007	2132	0.00000	0.00000	-6.74801	0.00000	-6.74801	0.00000	-6.75600	0.02860	0.00000	0.00000	0.00000	0.00000	-5.72422	0.00000	-5.72422	0.00000	-5.73100	0.02850	0.00000	0.00000	0.00000	0.00000	-5.70125	0.00000	-5.70125	0.00000	-5.70800	0.02880	0.00000	0.00000	0.00000	0.00000	-4.66847	0.00000	-4.66847	0.00000	-4.67400	0.02830	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-4.84899	0.00000	-4.84899	0.00000	-4.85473	0.01896	0.00000	0.00000	0.00000	0.00000	-4.42528	0.00000	-4.42528	0.00000	-4.43052	0.01851	0.00000	0.00000	0.00000	0.00000	-3.08934	0.00000	-3.08934	0.00000	-3.09300	0.01650	0.00000	0.00000	0.00000	0.00000	-3.08135	0.00000	-3.08135	0.00000	-3.08500	0.02060	0.00000	0.00000	0.00000	0.00000	-5.24379	0.00000	-5.24379	0.00000	-5.25000	0.02260	0.00000	0.00000	0.00000	0.00000	-4.51565	0.00000	-4.51565	0.00000	-4.52100	0.02270	0.00000	0.00000	0.00000	0.00000	-4.26096	0.00000	-4.26096	0.00000	-4.26600	0.02230	0.00000	0.00000	0.00000	0.00000	-5.45754	0.00000	-5.45754	0.00000	-5.46400	0.02250	0.00000	0.00000	0.00000	0.00000	-3.34704	0.00000	-3.34704	0.00000	-3.35100	0.02340	0.00000	0.00000	0.00000	0.00000	-4.77035	0.00000	-4.77035	0.00000	-4.77600	0.02260	0.00000	0.00000	0.00000	0.00000	-2.72378	0.00000	-2.72378	0.00000	-2.72700	0.02240	0.00000	0.00000	0.00000	0.00000	-6.58920	0.00000	-6.58920	0.00000	-6.59700	0.02550	0.00000	0.00000	0.00000	0.00000	-4.17706	0.00000	-4.17706	0.00000	-4.18200	0.03270	0.00000	0.00000	0.00000	0.00000	-5.81811	0.00000	-5.81811	0.00000	-5.82500	0.02540	0.00000	0.00000	0.00000	0.00000	-5.88603	0.00000	-5.88603	0.00000	-5.89300	0.02510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20131008	2113	0.00000	0.00000	-6.74413	0.00000	-6.74413	0.00000	-6.75600	0.02860	0.00000	0.00000	0.00000	0.00000	-5.72093	0.00000	-5.72093	0.00000	-5.73100	0.02850	0.00000	0.00000	0.00000	0.00000	-5.69797	0.00000	-5.69797	0.00000	-5.70800	0.02880	0.00000	0.00000	0.00000	0.00000	-4.66579	0.00000	-4.66579	0.00000	-4.67400	0.02830	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-4.84620	0.00000	-4.84620	0.00000	-4.85473	0.01896	0.00000	0.00000	0.00000	0.00000	-4.42274	0.00000	-4.42274	0.00000	-4.43052	0.01851	0.00000	0.00000	0.00000	0.00000	-3.08757	0.00000	-3.08757	0.00000	-3.09300	0.01650	0.00000	0.00000	0.00000	0.00000	-3.07958	0.00000	-3.07958	0.00000	-3.08500	0.02060	0.00000	0.00000	0.00000	0.00000	-5.24078	0.00000	-5.24078	0.00000	-5.25000	0.02260	0.00000	0.00000	0.00000	0.00000	-4.51306	0.00000	-4.51306	0.00000	-4.52100	0.02270	0.00000	0.00000	0.00000	0.00000	-4.25850	0.00000	-4.25850	0.00000	-4.26600	0.02230	0.00000	0.00000	0.00000	0.00000	-5.45440	0.00000	-5.45440	0.00000	-5.46400	0.02250	0.00000	0.00000	0.00000	0.00000	-3.34511	0.00000	-3.34511	0.00000	-3.35100	0.02340	0.00000	0.00000	0.00000	0.00000	-4.76761	0.00000	-4.76761	0.00000	-4.77600	0.02260	0.00000	0.00000	0.00000	0.00000	-2.72221	0.00000	-2.72221	0.00000	-2.72700	0.02240	0.00000	0.00000	0.00000	0.00000	-6.58541	0.00000	-6.58541	0.00000	-6.59700	0.02550	0.00000	0.00000	0.00000	0.00000	-4.17465	0.00000	-4.17465	0.00000	-4.18200	0.03270	0.00000	0.00000	0.00000	0.00000	-5.81477	0.00000	-5.81477	0.00000	-5.82500	0.02540	0.00000	0.00000	0.00000	0.00000	-5.88265	0.00000	-5.88265	0.00000	-5.89300	0.02510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20131010	0922	721.31000	11.07131	17.63126	0.40240	17.63126	0.40240	-6.75600	0.02860	0.00000	238.18639	884.95000	13.35917	24.76919	0.48386	24.76919	0.48386	-5.73100	0.02850	0.00000	203.15289	1444.10000	14.41284	45.60116	0.52752	45.60116	0.52752	-5.70800	0.02880	0.00000	198.54379	1672.24000	16.07428	54.20275	0.57812	54.20275	0.57812	-4.67400	0.02830	0.00000	167.24699	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	171.06235	30.97000	28.56937	-5.42345	0.68839	-5.42345	0.68839	-4.85473	0.01896	0.00000	0.00000	58.60000	52.97849	-4.25209	1.24625	-4.25209	1.24625	-4.43052	0.01851	0.00000	0.00000	1086.49000	26.42745	18.85207	0.55416	18.85207	0.55416	-3.09300	0.01650	0.00000	191.55048	783.73000	12.11681	16.59725	0.31722	16.59725	0.31722	-3.08500	0.02060	0.00000	152.40292	850.42000	14.35631	17.75329	0.41233	17.75329	0.41233	-5.25000	0.02260	0.00000	231.42334	888.71000	15.31881	19.89244	0.44193	19.89244	0.44193	-4.52100	0.02270	0.00000	200.08748	1152.01000	16.88697	27.22672	0.47858	27.22672	0.47858	-4.26600	0.02230	0.00000	193.64764	1775.30000	16.97910	43.81963	0.48551	43.81963	0.48551	-5.46400	0.02250	0.00000	245.68582	1725.77000	17.54700	47.06258	0.52182	47.06257	0.52182	-3.35100	0.02340	0.00000	142.56575	1850.03000	18.15569	47.06596	0.52146	47.06596	0.52146	-4.77600	0.02260	0.00000	212.83287	2013.10000	20.42229	53.84189	0.58137	53.84189	0.58137	-2.72700	0.02240	0.00000	122.02827	1707.91000	16.78874	46.96432	0.54407	46.96432	0.54407	-6.59700	0.02550	0.00000	255.09019	835.26000	24.18331	29.39631	1.00499	29.39630	1.00499	-4.18200	0.03270	0.00000	130.05736	1654.83000	15.20398	46.01496	0.49078	46.01496	0.49078	-5.82500	0.02540	0.00000	226.75371	1804.78000	25.26206	50.08082	0.80583	50.08082	0.80583	-5.89300	0.02510	0.00000	233.59406	9928.35000	2088.62000	14159.84000	3831.79000
20131011	0903	789.64000	8.66893	21.01873	0.32925	21.01873	0.32925	-6.75600	0.02860	0.00000	238.72864	915.25000	9.65130	27.02902	0.36527	27.02902	0.36527	-5.73100	0.02850	0.00000	203.76550	1428.85000	8.70905	47.06712	0.33308	47.06711	0.33308	-5.70800	0.02880	0.00000	198.53256	1628.68000	10.15074	55.00143	0.38148	55.00143	0.38148	-4.67400	0.02830	0.00000	167.37355	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	169.44281	24.37000	28.50041	-5.83334	0.71759	-5.83334	0.71759	-4.85473	0.01896	0.00000	0.00000	49.41000	50.56186	-4.66907	1.24285	-4.66907	1.24285	-4.43052	0.01851	0.00000	0.00000	1279.46000	32.20696	23.92750	0.70570	23.92750	0.70570	-3.09300	0.01650	0.00000	192.34213	898.57000	9.99925	20.48467	0.27354	20.48467	0.27354	-3.08500	0.02060	0.00000	152.74120	925.21000	11.08990	20.79569	0.33283	20.79569	0.33283	-5.25000	0.02260	0.00000	231.88156	948.97000	11.79869	22.60289	0.35567	22.60289	0.35567	-4.52100	0.02270	0.00000	200.50291	1177.57000	12.36305	29.20714	0.36612	29.20714	0.36612	-4.26600	0.02230	0.00000	194.40703	1753.47000	9.84830	45.13651	0.29426	45.13651	0.29426	-5.46400	0.02250	0.00000	245.80566	1691.65000	10.18663	48.11718	0.31654	48.11718	0.31654	-3.35100	0.02340	0.00000	142.95822	1792.74000	11.77253	47.46158	0.35332	47.46158	0.35332	-4.77600	0.02260	0.00000	213.19656	1971.33000	11.09690	55.01889	0.33009	55.01889	0.33009	-2.72700	0.02240	0.00000	121.91500	1618.96000	9.55920	46.06264	0.32371	46.06264	0.32371	-6.59700	0.02550	0.00000	255.33351	720.50000	22.66297	25.73389	0.98413	25.73388	0.98413	-4.18200	0.03270	0.00000	130.27000	1557.28000	8.09825	44.79234	0.27316	44.79234	0.27316	-5.82500	0.02540	0.00000	226.59828	1753.59000	14.82572	50.62505	0.49417	50.62505	0.49417	-5.89300	0.02510	0.00000	233.61096	9707.93000	4723.71000	13625.22000	4137.40000
20131013	2120	0.00000	0.00000	-6.72481	0.00000	-6.72481	0.00000	-6.75600	0.02860	0.00000	0.00000	0.00000	0.00000	-5.70454	0.00000	-5.70454	0.00000	-5.73100	0.02850	0.00000	0.00000	0.00000	0.00000	-5.68165	0.00000	-5.68165	0.00000	-5.70800	0.02880	0.00000	0.00000	0.00000	0.00000	-4.65242	0.00000	-4.65242	0.00000	-4.67400	0.02830	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-4.83232	0.00000	-4.83232	0.00000	-4.85473	0.01896	0.00000	0.00000	0.00000	0.00000	-4.41007	0.00000	-4.41007	0.00000	-4.43052	0.01851	0.00000	0.00000	0.00000	0.00000	-3.07872	0.00000	-3.07872	0.00000	-3.09300	0.01650	0.00000	0.00000	0.00000	0.00000	-3.07076	0.00000	-3.07076	0.00000	-3.08500	0.02060	0.00000	0.00000	0.00000	0.00000	-5.22576	0.00000	-5.22576	0.00000	-5.25000	0.02260	0.00000	0.00000	0.00000	0.00000	-4.50013	0.00000	-4.50013	0.00000	-4.52100	0.02270	0.00000	0.00000	0.00000	0.00000	-4.24631	0.00000	-4.24631	0.00000	-4.26600	0.02230	0.00000	0.00000	0.00000	0.00000	-5.43878	0.00000	-5.43878	0.00000	-5.46400	0.02250	0.00000	0.00000	0.00000	0.00000	-3.33553	0.00000	-3.33553	0.00000	-3.35100	0.02340	0.00000	0.00000	0.00000	0.00000	-4.75395	0.00000	-4.75395	0.00000	-4.77600	0.02260	0.00000	0.00000	0.00000	0.00000	-2.71441	0.00000	-2.71441	0.00000	-2.72700	0.02240	0.00000	0.00000	0.00000	0.00000	-6.56655	0.00000	-6.56655	0.00000	-6.59700	0.02550	0.00000	0.00000	0.00000	0.00000	-4.16269	0.00000	-4.16270	0.00000	-4.18200	0.03270	0.00000	0.00000	0.00000	0.00000	-5.79811	0.00000	-5.79811	0.00000	-5.82500	0.02540	0.00000	0.00000	0.00000	0.00000	-5.86580	0.00000	-5.86580	0.00000	-5.89300	0.02510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
20131014	2101	0.00000	0.00000	-6.72098	0.00000	-6.72098	0.00000	-6.75600	0.02860	0.00000	0.00000	0.00000	0.00000	-5.70129	0.00000	-5.70129	0.00000	-5.73100	0.02850	0.00000	0.00000	0.00000	0.00000	-5.67841	0.00000	-5.67841	0.00000	-5.70800	0.02880	0.00000	0.00000	0.00000	0.00000	-4.64977	0.00000	-4.64977	0.00000	-4.67400	0.02830	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	-4.82956	0.00000	-4.82956	0.00000	-4.85473	0.01896	0.00000	0.00000	0.00000	0.00000	-4.40755	0.00000	-4.40755	0.00000	-4.43052	0.01851	0.00000	0.00000	0.00000	0.00000	-3.07697	0.00000	-3.07697	0.00000	-3.09300	0.01650	0.00000	0.00000	0.00000	0.00000	-3.06901	0.00000	-3.06901	0.00000	-3.08500	0.02060	0.00000	0.00000	0.00000	0.00000	-5.22278	0.00000	-5.22278	0.00000	-5.25000	0.02260	0.00000	0.00000	0.00000	0.00000	-4.49756	0.00000	-4.49756	0.00000	-4.52100	0.02270	0.00000	0.00000	0.00000	0.00000	-4.24388	0.00000	-4.24388	0.00000	-4.26600	0.02230	0.00000	0.00000	0.00000	0.00000	-5.43567	0.00000	-5.43567	0.00000	-5.46400	0.02250	0.00000	0.00000	0.00000	0.00000	-3.33363	0.00000	-3.33363	0.00000	-3.35100	0.02340	0.00000	0.00000	0.00000	0.00000	-4.75124	0.00000	-4.75124	0.00000	-4.77600	0.02260	0.00000	0.00000	0.00000	0.00000	-2.71286	0.00000	-2.71286	0.00000	-2.72700	0.02240	0.00000	0.00000	0.00000	0.00000	-6.56280	0.00000	-6.56280	0.00000	-6.59700	0.02550	0.00000	0.00000	0.00000	0.00000	-4.16032	0.00000	-4.16032	0.00000	-4.18200	0.03270	0.00000	0.00000	0.00000	0.00000	-5.79480	0.00000	-5.79480	0.00000	-5.82500	0.02540	0.00000	0.00000	0.00000	0.00000	-5.86245	0.00000	-5.86245	0.00000	-5.89300	0.02510	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
